dayofyear,encounter_type,change_n_interactions
2020-06-16,business,-89.95667650118794
2020-06-16,other,-44.447138712260184
2020-06-16,poi,-78.2952400425145
2020-06-16,home,-7.118766024498358
2020-06-17,business,-89.8453360695225
2020-06-17,poi,-78.02288540374711
2020-06-17,other,-44.821352396270186
2020-06-17,home,-3.983297740612035
2020-06-18,home,-6.604124910660502
2020-06-18,poi,-78.09863335347195
2020-06-18,business,-89.83650527280807
2020-06-18,other,-42.05274522701473
2020-06-19,home,-6.272861799342399
2020-06-19,poi,-75.26682598331142
2020-06-19,business,-90.64815710342342
2020-06-19,other,-41.40214387849615
2020-06-20,other,-37.66232897114583
2020-06-20,business,-55.28730629929544
2020-06-20,home,-3.198940800804273
2020-06-20,poi,-80.87769901137243
2020-06-21,other,-41.57430468684932
2020-06-21,home,-10.039174388379813
2020-06-21,poi,-83.19394907490461
2020-06-21,business,-46.911882233430916
2020-06-22,other,-39.84172624579967
2020-06-22,home,-10.664365040338275
2020-06-22,business,-89.49277692942624
2020-06-22,poi,-67.8171602796646
2020-06-23,home,-0.7985610308958058
2020-06-23,poi,-67.37255016884521
2020-06-23,business,-89.33084120065273
2020-06-23,other,-37.71407705899149
2020-06-24,business,-89.31335019886025
2020-06-24,home,2.71212713856952
2020-06-24,other,-36.68646765920903
2020-06-24,poi,-71.379495291336
2020-06-25,poi,-65.5005667633304
2020-06-25,other,-26.73556382240061
2020-06-25,home,1.459486872171012
2020-06-25,business,-89.21580190492327
2020-06-26,poi,-66.86774063575982
2020-06-26,business,-90.00243116502332
2020-06-26,home,-8.507060186666848
2020-06-26,other,-30.80096708762763
2020-06-27,home,-11.827476441336326
2020-06-27,poi,-86.29326660373853
2020-06-27,other,-47.99222294909939
2020-06-27,business,-56.55138302650733
2020-06-28,home,-14.57210280760749
2020-06-28,poi,-75.84395956741857
2020-06-28,business,-42.3802441200719
2020-06-28,other,-46.98531907782766
2020-06-29,business,-88.620996099407
2020-06-29,home,-7.285449357634399
2020-06-29,poi,-60.43358712765361
2020-06-29,other,-26.575449095726
2020-06-30,business,-88.79012383536676
2020-06-30,home,1.3379713068617516
2020-06-30,other,-30.158773822286
2020-06-30,poi,-73.15133407768464
2020-07-01,home,0.5412378617867697
2020-07-01,business,-88.91268115290714
2020-07-01,other,-33.66782275479186
2020-07-01,poi,-71.99544280212451
2020-07-02,business,-90.11261999839594
2020-07-02,poi,-52.26007797917691
2020-07-02,other,-7.922278064878629
2020-07-02,home,-0.38383084862665395
2020-07-03,home,-6.885037602622468
2020-07-03,business,-97.27051874640269
2020-07-03,poi,-69.99025471767915
2020-07-03,other,-15.624099177118856
2020-07-04,business,-73.71405299223417
2020-07-04,home,-9.560906548485749
2020-07-04,poi,-82.30111649533342
2020-07-04,other,11.37308157291872
2020-07-05,business,-49.38151665363838
2020-07-05,poi,-76.3463919140552
2020-07-05,other,-43.52768147630981
2020-07-05,home,-17.83211710467939
2020-07-06,poi,-69.68300294862352
2020-07-06,home,-22.07206231724851
2020-07-06,business,-89.6881041521768
2020-07-06,other,-34.081776018576726
2020-07-07,other,-33.40061971089302
2020-07-07,home,-7.252276285985038
2020-07-07,poi,-71.7206519811104
2020-07-07,business,-88.51845220842061
2020-07-08,business,-88.61420851579366
2020-07-08,poi,-68.33284091477444
2020-07-08,home,-6.954653272949951
2020-07-08,other,-36.50650381808257
2020-07-09,other,-18.695476839358673
2020-07-09,poi,-53.03987632908112
2020-07-09,business,-88.31911420376501
2020-07-09,home,-1.6402692081047943
2020-07-10,poi,-85.89159531461378
2020-07-10,home,-17.114097992808862
2020-07-10,business,-89.52649988715972
2020-07-10,other,-59.651225270693466
2020-07-11,home,-6.341113140488441
2020-07-11,other,-40.1449487101319
2020-07-11,business,-51.36731018120049
2020-07-11,poi,-83.43116698452549
2020-07-12,other,-40.69218593930045
2020-07-12,poi,-63.83554049829988
2020-07-12,home,-13.542317281751338
